formatted_date,open,high,low,close,adjclose,volume
2021-05-10,176.4600067138672,176.91000366210938,172.9499969482422,173.05999755859375,167.93226623535156,82400
2021-05-11,173.1999969482422,174.58999633789062,171.8000030517578,174.00999450683594,168.85411071777344,46500
2021-05-12,173.8300018310547,175.38999938964844,171.9199981689453,173.75,168.60182189941406,43500
2021-05-13,172.6699981689453,173.67999267578125,171.72000122070312,173.63999938964844,170.23416137695312,42400
2021-05-14,175.4499969482422,176.72999572753906,173.42999267578125,176.25,172.79296875,190500
2021-05-17,180.36000061035156,181.88999938964844,179.36000061035156,181.5399932861328,177.9792022705078,441600
2021-05-18,180.8000030517578,181.10000610351562,178.38999938964844,179.10000610351562,175.58706665039062,138800
2021-05-19,178.0,180.77999877929688,177.33999633789062,179.7100067138672,176.1851043701172,44900
2021-05-20,181.6199951171875,183.14999389648438,181.3300018310547,182.6300048828125,179.04782104492188,53800
2021-05-21,184.92999267578125,184.92999267578125,183.10000610351562,183.42999267578125,179.83212280273438,40000
2021-05-24,183.75,186.80999755859375,183.5,186.67999267578125,183.01837158203125,21000
2021-05-25,184.72000122070312,185.61000061035156,183.00999450683594,184.0,180.3909454345703,43000
2021-05-26,181.16000366210938,182.3800048828125,181.0399932861328,181.60000610351562,178.03802490234375,52500
2021-05-27,180.52999877929688,182.91000366210938,180.4499969482422,182.25999450683594,178.68507385253906,146800
2021-05-28,181.35000610351562,183.89999389648438,181.25,183.3699951171875,179.77330017089844,182500
2021-06-01,181.82000732421875,183.24000549316406,181.60000610351562,182.67999267578125,179.09683227539062,183000
2021-06-02,181.6699981689453,182.67999267578125,181.0800018310547,182.17999267578125,178.6066436767578,29300
2021-06-03,180.91000366210938,182.0,180.24000549316406,181.99000549316406,178.42037963867188,47300
2021-06-04,181.16000366210938,181.39999389648438,180.5500030517578,181.14999389648438,177.5968475341797,40000
2021-06-07,181.3300018310547,181.88999938964844,180.89999389648438,181.44000244140625,177.88116455078125,20300
2021-06-08,180.9600067138672,181.4499969482422,179.49000549316406,180.4199981689453,176.88116455078125,29200
2021-06-09,179.5800018310547,179.99000549316406,178.3300018310547,178.92999267578125,175.42039489746094,24000
2021-06-10,176.9499969482422,179.2100067138672,176.9499969482422,179.0,175.48902893066406,217200
2021-06-11,179.57000732421875,180.0800018310547,178.30999755859375,179.25,175.73411560058594,255600
2021-06-14,177.72999572753906,178.88999938964844,177.72999572753906,178.6699981689453,175.16549682617188,40900
2021-06-15,177.57000732421875,178.3699951171875,176.9499969482422,177.97000122070312,174.47923278808594,47600
2021-06-16,176.3000030517578,178.25,175.9199981689453,176.3800048828125,172.92041015625,30800
2021-06-17,174.55999755859375,175.14999389648438,173.25999450683594,174.16000366210938,170.74395751953125,34100
2021-06-18,171.9600067138672,172.9499969482422,169.63999938964844,171.22999572753906,167.87142944335938,141100
2021-06-21,172.50999450683594,173.8800048828125,171.86000061035156,173.85000610351562,170.44004821777344,183300
2021-06-22,172.32000732421875,174.60000610351562,171.89999389648438,174.22999572753906,170.8125762939453,57500
2021-06-23,174.58999633789062,175.3000030517578,173.49000549316406,174.11000061035156,170.69493103027344,33200
2021-06-24,174.89999389648438,175.2899932861328,174.3699951171875,175.2899932861328,171.85179138183594,35900
2021-06-25,184.3699951171875,185.92999267578125,184.11000061035156,185.02000427246094,181.3909454345703,98400
2021-06-28,186.11000061035156,186.3000030517578,184.3699951171875,184.97000122070312,181.3419189453125,52100
2021-06-29,188.38999938964844,189.94000244140625,188.0,189.4499969482422,185.7340545654297,50300
2021-06-30,185.97000122070312,187.2899932861328,185.4600067138672,186.77999877929688,183.11642456054688,39900
2021-07-01,187.74000549316406,188.19000244140625,186.0,186.75,183.08700561523438,20000
2021-07-02,187.5500030517578,188.64999389648438,186.4499969482422,187.69000244140625,184.00857543945312,31500
2021-07-06,185.47000122070312,185.7899932861328,184.00999450683594,185.1699981689453,181.53799438476562,26800
2021-07-07,188.75,189.2899932861328,187.60000610351562,188.30999755859375,184.6164093017578,20400
2021-07-08,185.67999267578125,187.83999633789062,183.75,187.52000427246094,183.8419189453125,31500
2021-07-09,187.42999267578125,189.3800048828125,187.42999267578125,189.2899932861328,185.57717895507812,18400
2021-07-12,190.47000122070312,191.42999267578125,190.22000122070312,190.75999450683594,187.0183563232422,16100
2021-07-13,189.4499969482422,190.1699981689453,189.0,189.49000549316406,185.7732696533203,23000
2021-07-14,189.57000732421875,191.07000732421875,189.47000122070312,190.94000244140625,187.19482421875,25500
2021-07-15,187.63999938964844,188.3300018310547,185.8000030517578,186.57000732421875,182.91055297851562,45200
2021-07-16,184.25,185.72000122070312,182.5,183.39999389648438,179.80271911621094,32500
2021-07-19,180.14999389648438,180.75,178.83999633789062,180.6300048828125,177.08705139160156,27800
2021-07-20,179.30999755859375,181.5800018310547,178.6699981689453,181.2899932861328,177.73410034179688,75300
2021-07-21,181.83999633789062,183.0800018310547,181.74000549316406,183.02000427246094,179.43017578125,43700
2021-07-22,183.0500030517578,184.0500030517578,182.69000244140625,183.00999450683594,179.4203643798828,62900
2021-07-23,185.49000549316406,187.3300018310547,184.75,187.00999450683594,183.34190368652344,36600
2021-07-26,185.36000061035156,185.72999572753906,184.0,184.5,180.8811492919922,27000
2021-07-27,184.92999267578125,184.92999267578125,182.13999938964844,183.52000427246094,179.9203643798828,24100
2021-07-28,182.47999572753906,183.4600067138672,182.02999877929688,183.1199951171875,179.52821350097656,24400
2021-07-29,183.3699951171875,183.80999755859375,182.94000244140625,183.36000061035156,179.7635040283203,20400
2021-07-30,182.6699981689453,182.6699981689453,181.57000732421875,182.0500030517578,178.4792022705078,127100
2021-08-02,187.11000061035156,189.3300018310547,186.94000244140625,188.16000366210938,184.4693603515625,215000
2021-08-03,191.74000549316406,193.02000427246094,190.24000549316406,193.00999450683594,189.22421264648438,55400
2021-08-04,196.67999267578125,199.44000244140625,196.27999877929688,198.67999267578125,194.7830047607422,155700
2021-08-05,188.80999755859375,190.5500030517578,187.60000610351562,188.5,184.8026885986328,75000
2021-08-06,185.47000122070312,186.3699951171875,182.8000030517578,184.0,180.3909454345703,68000
2021-08-09,185.57000732421875,186.41000366210938,184.0,184.02000427246094,180.4105682373047,30000
2021-08-10,181.5500030517578,182.05999755859375,180.60000610351562,181.5,177.9399871826172,36200
2021-08-11,180.92999267578125,181.44000244140625,180.27999877929688,180.75,177.20469665527344,31800
2021-08-12,181.60000610351562,184.97999572753906,180.97999572753906,184.52999877929688,180.91055297851562,41600
2021-08-13,188.6999969482422,189.02999877929688,187.47000122070312,188.38999938964844,184.69483947753906,41600
2021-08-16,185.22000122070312,187.00999450683594,184.02999877929688,185.3300018310547,181.6948699951172,25100
2021-08-17,183.8800048828125,184.75999450683594,181.11000061035156,181.6300048828125,178.06744384765625,131400
2021-08-18,178.72000122070312,180.58999633789062,178.4199981689453,178.9499969482422,175.44000244140625,41900
2021-08-19,177.0500030517578,178.4600067138672,176.0,177.32000732421875,173.84197998046875,123200
2021-08-20,176.7100067138672,177.33999633789062,175.91000366210938,177.16000366210938,173.68511962890625,31500
2021-08-23,180.0,180.8699951171875,179.69000244140625,180.77000427246094,177.22430419921875,49900
2021-08-24,178.1999969482422,179.75999450683594,177.80999755859375,179.30999755859375,175.79293823242188,31200
2021-08-25,180.1999969482422,180.7899932861328,179.7899932861328,180.63999938964844,177.0968475341797,24700
2021-08-26,179.39999389648438,179.85000610351562,178.55999755859375,178.82000732421875,175.31256103515625,21700
2021-08-27,177.97999572753906,179.80999755859375,177.61000061035156,179.6699981689453,176.1458740234375,38000
2021-08-30,178.3300018310547,178.5,177.94000244140625,178.32000732421875,174.82237243652344,32300
2021-08-31,176.6999969482422,177.86000061035156,176.3000030517578,177.5,174.01844787597656,37400
2021-09-01,178.8800048828125,179.32000732421875,178.00999450683594,178.52000427246094,175.01844787597656,37500
2021-09-02,179.3300018310547,179.4600067138672,178.10000610351562,179.1199951171875,175.60665893554688,28200
2021-09-03,176.0800018310547,178.57000732421875,175.6300048828125,177.22000122070312,173.7439422607422,56700
2021-09-07,178.75,179.47999572753906,177.25999450683594,177.25999450683594,173.78314208984375,31500
2021-09-08,176.52999877929688,177.1999969482422,175.16000366210938,175.89999389648438,172.44981384277344,34500
2021-09-09,175.86000061035156,177.1300048828125,175.42999267578125,176.2100067138672,172.75375366210938,31300
2021-09-10,178.85000610351562,178.85000610351562,176.0,176.22999572753906,172.77334594726562,28800
2021-09-13,176.08999633789062,176.80999755859375,175.17999267578125,176.1300048828125,172.67532348632812,37100
2021-09-14,173.58999633789062,174.1300048828125,172.75999450683594,173.13999938964844,169.74395751953125,35100
2021-09-15,169.91000366210938,169.91000366210938,167.47999572753906,168.75,165.4400634765625,169400
2021-09-16,167.3800048828125,168.58999633789062,167.07000732421875,168.4199981689453,165.11654663085938,55000
2021-09-17,167.6999969482422,167.85000610351562,165.0,165.97000122070312,162.714599609375,39600
2021-09-20,163.1199951171875,165.14999389648438,162.85000610351562,164.6999969482422,161.46951293945312,53100
2021-09-21,165.5399932861328,167.0,164.66000366210938,165.64999389648438,162.40086364746094,41800
2021-09-22,166.55999755859375,167.5800018310547,165.85000610351562,166.66000366210938,163.3910675048828,43900
2021-09-23,169.44000244140625,170.72000122070312,169.17999267578125,170.10000610351562,166.7635955810547,32900
2021-09-24,164.77999877929688,165.44000244140625,163.8000030517578,164.83999633789062,161.6067657470703,60000
2021-09-27,163.5,163.63999938964844,162.22999572753906,162.6699981689453,159.4793243408203,70800
2021-09-28,158.2899932861328,158.44000244140625,155.27000427246094,156.3000030517578,153.23426818847656,60500
2021-09-29,157.1300048828125,157.92999267578125,156.19000244140625,157.10000610351562,154.01858520507812,48300
2021-09-30,158.16000366210938,158.91000366210938,156.75,158.1199951171875,155.01856994628906,122400
2021-10-01,158.39999389648438,158.61000061035156,156.55999755859375,158.61000061035156,155.49896240234375,117300
2021-10-04,154.86000061035156,154.9600067138672,152.6999969482422,154.9600067138672,151.92056274414062,57400
2021-10-05,152.64999389648438,153.8699951171875,152.4600067138672,152.8000030517578,149.80291748046875,86600
2021-10-06,150.32000732421875,152.6999969482422,149.85000610351562,152.1300048828125,149.1460723876953,39300
2021-10-07,153.02999877929688,154.64999389648438,152.5500030517578,153.9600067138672,150.94017028808594,53200
2021-10-08,152.22999572753906,152.5399932861328,151.08999633789062,151.6300048828125,148.65586853027344,52600
2021-10-11,151.75999450683594,152.36000061035156,150.19000244140625,150.57000732421875,147.61666870117188,78700
2021-10-12,150.25999450683594,150.44000244140625,149.4499969482422,149.83999633789062,146.90097045898438,33000
2021-10-13,152.47999572753906,153.80999755859375,151.64999389648438,153.11000061035156,150.10684204101562,43300
2021-10-14,154.75,155.30999755859375,154.05999755859375,155.0,151.9597625732422,36300
2021-10-15,157.91000366210938,160.07000732421875,157.74000549316406,159.58999633789062,156.45973205566406,53900
2021-10-18,156.9199981689453,158.00999450683594,156.5,157.30999755859375,154.22445678710938,102400
2021-10-19,156.92999267578125,157.3800048828125,155.7100067138672,156.8300018310547,153.75387573242188,47700
2021-10-20,155.82000732421875,157.11000061035156,155.52999877929688,156.72999572753906,153.6558380126953,29800
2021-10-21,159.2899932861328,161.1199951171875,159.2100067138672,160.67999267578125,157.52835083007812,37000
2021-10-22,161.60000610351562,162.39999389648438,161.00999450683594,161.6199951171875,158.44992065429688,34000
2021-10-25,161.19000244140625,161.8000030517578,160.75999450683594,161.58999633789062,158.42050170898438,26000
2021-10-26,163.36000061035156,163.44000244140625,161.63999938964844,162.2899932861328,159.1067657470703,30100
2021-10-27,163.0500030517578,163.35000610351562,161.49000549316406,161.97999572753906,158.8028564453125,32800
2021-10-28,165.0,166.38999938964844,164.50999450683594,165.6699981689453,162.4204864501953,43500
2021-10-29,163.41000366210938,164.1699981689453,162.2100067138672,163.7100067138672,160.49893188476562,42600
2021-11-01,165.0800018310547,165.75999450683594,164.22999572753906,165.61000061035156,162.36166381835938,43100
2021-11-02,165.4499969482422,166.3300018310547,165.10000610351562,165.3800048828125,162.13616943359375,48400
2021-11-03,167.97000122070312,170.39999389648438,167.8800048828125,170.0800018310547,166.74398803710938,30900
2021-11-04,170.5399932861328,171.00999450683594,168.86000061035156,169.75,166.4204559326172,82400
2021-11-05,172.4499969482422,173.02000427246094,171.6999969482422,172.32000732421875,168.94004821777344,43100
2021-11-08,171.72000122070312,171.89999389648438,169.83999633789062,170.33999633789062,166.99888610839844,58400
2021-11-09,171.05999755859375,171.67999267578125,170.11000061035156,171.67999267578125,168.31259155273438,32000
2021-11-10,164.27999877929688,166.0,162.05999755859375,162.05999755859375,158.88128662109375,89400
2021-11-11,161.0399932861328,161.69000244140625,160.1300048828125,161.5399932861328,158.37149047851562,101200
2021-11-12,160.63999938964844,161.1699981689453,160.02999877929688,161.0500030517578,157.89109802246094,65300
2021-11-15,161.60000610351562,161.9199981689453,160.3800048828125,160.7899932861328,157.63619995117188,85000
2021-11-16,162.4499969482422,163.0800018310547,161.82000732421875,161.82000732421875,158.64601135253906,43400
2021-11-17,161.6699981689453,161.8800048828125,160.3699951171875,161.4199981689453,158.25384521484375,28800
2021-11-18,160.58999633789062,161.41000366210938,159.88999938964844,161.41000366210938,158.24404907226562,37100
2021-11-19,159.5800018310547,160.6199951171875,158.74000549316406,159.38999938964844,156.26365661621094,33700
2021-11-22,157.3699951171875,157.88999938964844,156.38999938964844,156.47999572753906,153.41073608398438,72500
2021-11-23,154.6300048828125,155.07000732421875,152.5500030517578,153.39999389648438,150.39114379882812,61900
2021-11-24,150.05999755859375,151.3699951171875,149.5500030517578,151.0399932861328,148.0774383544922,33400
2021-11-26,144.92999267578125,145.2100067138672,142.66000366210938,143.6699981689453,140.8520050048828,62600
2021-11-29,144.5500030517578,144.67999267578125,142.7899932861328,144.0500030517578,141.22454833984375,75500
2021-11-30,145.52999877929688,146.99000549316406,142.60000610351562,144.60000610351562,141.76376342773438,125400
2021-12-01,148.41000366210938,149.60000610351562,144.94000244140625,145.0,142.15591430664062,68500
2021-12-02,144.5399932861328,145.6199951171875,144.27000427246094,145.17999267578125,142.33236694335938,162500
2021-12-03,142.4499969482422,142.5500030517578,139.3800048828125,141.72000122070312,138.94024658203125,107000
2021-12-06,144.50999450683594,145.3800048828125,143.49000549316406,144.05999755859375,141.23434448242188,145800
2021-12-07,148.44000244140625,150.13999938964844,148.0399932861328,149.1199951171875,146.19509887695312,99300
2021-12-08,149.3300018310547,149.66000366210938,148.25,149.1999969482422,146.27352905273438,70200
2021-12-09,146.8699951171875,147.3000030517578,145.4499969482422,145.72999572753906,142.87158203125,228300
2021-12-10,144.3300018310547,144.72999572753906,143.22000122070312,144.72000122070312,141.88140869140625,113900
2021-12-13,143.8000030517578,143.8000030517578,141.4499969482422,142.47999572753906,139.68533325195312,140100
2021-12-14,141.0399932861328,141.58999633789062,139.3300018310547,140.0,137.2539825439453,79600
2021-12-15,141.89999389648438,143.13999938964844,140.50999450683594,143.10000610351562,140.29318237304688,71900
2021-12-16,144.32000732421875,144.4600067138672,141.0399932861328,141.57000732421875,138.79319763183594,74600
2021-12-17,141.3800048828125,143.72000122070312,140.63999938964844,140.9199981689453,138.1559295654297,73600
2021-12-20,137.74000549316406,139.22999572753906,137.63999938964844,139.22999572753906,136.49908447265625,95100
2021-12-21,138.88999938964844,139.94000244140625,138.24000549316406,139.92999267578125,137.1853485107422,108000
2021-12-22,140.77000427246094,142.08999633789062,140.5,141.50999450683594,138.73435974121094,60200
2021-12-23,142.22999572753906,143.24000549316406,142.0,142.27000427246094,139.47946166992188,81300
2021-12-27,143.2100067138672,144.0,142.88999938964844,143.86000061035156,141.03826904296875,101300
2021-12-28,143.64999389648438,144.67999267578125,143.47000122070312,143.72999572753906,140.9108123779297,67500
2021-12-29,143.97999572753906,144.4499969482422,143.49000549316406,144.1999969482422,141.37159729003906,53300
2021-12-30,145.0399932861328,145.0800018310547,143.02000427246094,143.02000427246094,140.21475219726562,64200
2021-12-31,143.0,144.39999389648438,142.55999755859375,144.0,141.17552185058594,36400
2022-01-03,146.60000610351562,147.5800018310547,145.99000549316406,147.14999389648438,144.26373291015625,105700
2022-01-04,146.97999572753906,147.5800018310547,145.2100067138672,146.0500030517578,143.18531799316406,59300
2022-01-05,148.72000122070312,148.97999572753906,145.2899932861328,145.2899932861328,142.44021606445312,51100
2022-01-06,142.83999633789062,143.85000610351562,142.02999877929688,142.92999267578125,140.1265106201172,65400
2022-01-07,141.55999755859375,141.55999755859375,139.41000366210938,140.8300018310547,138.0677032470703,66500
2022-01-10,139.25999450683594,141.8000030517578,137.82000732421875,141.39999389648438,138.6265106201172,334800
2022-01-11,145.4600067138672,146.25,144.66000366210938,145.6699981689453,142.81277465820312,125200
2022-01-12,145.33999633789062,146.2899932861328,143.97000122070312,145.5800018310547,142.7245330810547,310100
2022-01-13,148.6699981689453,148.6699981689453,145.44000244140625,145.6300048828125,142.7735595703125,145500
2022-01-14,144.94000244140625,145.94000244140625,143.61000061035156,145.14999389648438,142.30296325683594,71800
2022-01-18,146.27000427246094,146.88999938964844,143.8000030517578,144.17999267578125,141.35198974609375,137700
2022-01-19,145.0399932861328,145.8800048828125,143.66000366210938,144.11000061035156,141.2833709716797,71400
2022-01-20,145.33999633789062,146.05999755859375,143.5,143.91000366210938,141.08729553222656,162300
2022-01-21,142.10000610351562,143.2899932861328,140.85000610351562,141.4499969482422,138.675537109375,99900
2022-01-24,137.44000244140625,139.97999572753906,134.6999969482422,139.74000549316406,136.99908447265625,120000
2022-01-25,136.02999877929688,136.24000549316406,133.02000427246094,135.7100067138672,133.0481414794922,80700
2022-01-26,138.9199981689453,139.97999572753906,135.24000549316406,136.4499969482422,133.7736053466797,102200
