Dates;Open;Close;High;Low
02/08/2012 10:02:00;19,55;19,53;19,55;19,48
02/08/2012 10:03:00;19,53;19,43;19,54;19,43
02/08/2012 10:04:00;19,45;19,47;19,5;19,41
02/08/2012 10:05:00;19,47;19,47;19,48;19,45
02/08/2012 10:06:00;19,48;19,45;19,48;19,44
02/08/2012 10:07:00;19,44;19,46;19,46;19,43
02/08/2012 10:08:00;19,47;19,52;19,52;19,46
02/08/2012 10:09:00;19,51;19,52;19,53;19,48
02/08/2012 10:10:00;19,52;19,49;19,52;19,48
02/08/2012 10:11:00;19,49;19,56;19,58;19,49
02/08/2012 10:12:00;19,56;19,57;19,58;19,56
02/08/2012 10:13:00;19,55;19,54;19,56;19,51
02/08/2012 10:14:00;19,54;19,61;19,61;19,53
02/08/2012 10:15:00;19,63;19,63;19,66;19,6
02/08/2012 10:16:00;19,63;19,68;19,68;19,63
02/08/2012 10:17:00;19,67;19,7;19,72;19,64
02/08/2012 10:18:00;19,7;19,67;19,71;19,67
02/08/2012 10:19:00;19,67;19,69;19,69;19,67
02/08/2012 10:20:00;19,69;19,69;19,72;19,69
02/08/2012 10:21:00;19,68;19,68;19,69;19,67
02/08/2012 10:22:00;19,68;19,63;19,68;19,63
02/08/2012 10:23:00;19,63;19,62;19,63;19,61
02/08/2012 10:24:00;19,62;19,57;19,63;19,56
02/08/2012 10:25:00;19,57;19,58;19,61;19,57
02/08/2012 10:26:00;19,58;19,63;19,65;19,58
02/08/2012 10:27:00;19,63;19,66;19,66;19,61
02/08/2012 10:28:00;19,65;19,64;19,65;19,64
02/08/2012 10:29:00;19,64;19,65;19,66;19,63
02/08/2012 10:30:00;19,64;19,64;19,65;19,6
02/08/2012 10:31:00;19,65;19,66;19,7;19,63
02/08/2012 10:32:00;19,67;19,56;19,67;19,54
02/08/2012 10:33:00;19,55;19,61;19,63;19,55
02/08/2012 10:34:00;19,61;19,65;19,66;19,61
02/08/2012 10:35:00;19,65;19,63;19,65;19,61
02/08/2012 10:36:00;19,63;19,62;19,64;19,62
02/08/2012 10:37:00;19,63;19,65;19,66;19,61
02/08/2012 10:38:00;19,64;19,64;19,66;19,62
02/08/2012 10:39:00;19,63;19,67;19,69;19,63
02/08/2012 10:40:00;19,69;19,71;19,72;19,66
02/08/2012 10:41:00;19,71;19,7;19,72;19,68
02/08/2012 10:42:00;19,71;19,73;19,76;19,71
02/08/2012 10:43:00;19,73;19,74;19,77;19,72
02/08/2012 10:44:00;19,74;19,77;19,77;19,74
02/08/2012 10:45:00;19,77;19,86;19,86;19,77
02/08/2012 10:46:00;19,86;19,93;19,94;19,85
02/08/2012 10:47:00;19,94;19,96;19,97;19,92
02/08/2012 10:48:00;19,96;19,93;19,98;19,92
02/08/2012 10:49:00;19,94;19,92;19,98;19,92
02/08/2012 10:50:00;19,91;19,89;19,93;19,86
02/08/2012 10:51:00;19,9;19,87;19,9;19,84
02/08/2012 10:52:00;19,86;19,87;19,88;19,84
02/08/2012 10:53:00;19,88;19,89;19,89;19,87
02/08/2012 10:54:00;19,89;19,86;19,9;19,86
02/08/2012 10:55:00;19,87;19,88;19,9;19,87
02/08/2012 10:56:00;19,89;19,89;19,9;19,87
02/08/2012 10:57:00;19,89;19,92;19,94;19,89
02/08/2012 10:58:00;19,9;19,9;19,92;19,88
02/08/2012 10:59:00;19,9;19,87;19,91;19,86
02/08/2012 11:00:00;19,87;19,85;19,87;19,84
02/08/2012 11:01:00;19,85;19,84;19,85;19,82
02/08/2012 11:02:00;19,81;19,86;19,86;19,81
02/08/2012 11:03:00;19,85;19,83;19,85;19,83
02/08/2012 11:04:00;19,83;19,83;19,83;19,81
02/08/2012 11:05:00;19,82;19,85;19,85;19,82
02/08/2012 11:06:00;19,85;19,86;19,9;19,84
02/08/2012 11:07:00;19,85;19,89;19,89;19,85
02/08/2012 11:08:00;19,89;19,93;19,93;19,89
02/08/2012 11:09:00;19,94;19,94;19,95;19,92
02/08/2012 11:10:00;19,94;19,95;19,95;19,93
02/08/2012 11:11:00;19,94;19,93;19,95;19,92
02/08/2012 11:12:00;19,93;19,96;19,97;19,93
02/08/2012 11:13:00;19,96;19,97;19,97;19,95
02/08/2012 11:14:00;19,96;19,96;19,97;19,96
02/08/2012 11:15:00;19,96;19,96;19,97;19,96
02/08/2012 11:16:00;19,96;19,96;19,97;19,93
02/08/2012 11:17:00;19,96;19,96;19,97;19,94
02/08/2012 11:18:00;19,94;19,96;19,97;19,94
02/08/2012 11:19:00;19,96;19,97;19,98;19,94
02/08/2012 11:20:00;19,98;20,01;20,04;19,98
02/08/2012 11:21:00;20,0;20,01;20,04;20,0
02/08/2012 11:22:00;20,01;19,99;20,01;19,98
02/08/2012 11:23:00;19,99;19,96;19,99;19,92
02/08/2012 11:24:00;19,97;19,96;19,98;19,96
02/08/2012 11:25:00;19,97;19,94;19,97;19,94
02/08/2012 11:26:00;19,93;19,98;20,02;19,93
02/08/2012 11:27:00;19,99;20,0;20,01;19,97
02/08/2012 11:28:00;19,99;19,97;20,0;19,96
02/08/2012 11:29:00;19,98;19,99;19,99;19,96
02/08/2012 11:30:00;19,99;19,96;19,99;19,96
02/08/2012 11:31:00;19,96;19,98;19,99;19,96
02/08/2012 11:32:00;19,97;19,98;19,98;19,96
02/08/2012 11:33:00;19,98;20,0;20,02;19,97
02/08/2012 11:34:00;20,0;20,0;20,02;20,0
02/08/2012 11:35:00;19,99;19,99;20,0;19,98
02/08/2012 11:36:00;19,98;19,97;19,99;19,97
02/08/2012 11:37:00;19,97;19,95;19,98;19,95
02/08/2012 11:38:00;19,95;19,95;19,96;19,92
02/08/2012 11:39:00;19,95;19,94;19,95;19,94
02/08/2012 11:40:00;19,93;19,93;19,94;19,93
02/08/2012 11:41:00;19,94;19,89;19,94;19,87
02/08/2012 11:42:00;19,89;19,9;19,92;19,87
02/08/2012 11:43:00;19,92;19,9;19,93;19,9
02/08/2012 11:44:00;19,9;19,91;19,91;19,9
02/08/2012 11:45:00;19,91;19,92;19,92;19,91
02/08/2012 11:46:00;19,92;19,96;19,97;19,92
02/08/2012 11:47:00;19,96;19,91;19,96;19,9
02/08/2012 11:48:00;19,93;19,94;19,95;19,91
02/08/2012 11:49:00;19,93;19,97;19,97;19,92
02/08/2012 11:50:00;19,97;19,97;19,97;19,96
02/08/2012 11:51:00;19,95;19,97;19,97;19,94
02/08/2012 11:52:00;19,97;19,98;19,98;19,96
02/08/2012 11:53:00;19,98;20,0;20,0;19,97
02/08/2012 11:54:00;20,0;19,91;20,0;19,91
02/08/2012 11:55:00;19,91;19,89;19,92;19,86
02/08/2012 11:56:00;19,89;19,91;19,92;19,89
02/08/2012 11:57:00;19,92;19,9;19,94;19,9
02/08/2012 11:58:00;19,9;19,91;19,93;19,9
02/08/2012 11:59:00;19,91;19,85;19,93;19,85
02/08/2012 12:00:00;19,85;19,88;19,91;19,84
02/08/2012 12:01:00;19,88;19,9;19,91;19,87
02/08/2012 12:02:00;19,9;19,88;19,91;19,84
02/08/2012 12:03:00;19,87;19,9;19,91;19,87
02/08/2012 12:04:00;19,88;19,91;19,91;19,88
02/08/2012 12:05:00;19,92;19,93;19,94;19,9
02/08/2012 12:06:00;19,91;19,9;19,93;19,9
02/08/2012 12:07:00;19,9;19,88;19,91;19,88
02/08/2012 12:08:00;19,9;19,9;19,93;19,88
02/08/2012 12:09:00;19,91;19,91;19,93;19,9
02/08/2012 12:10:00;19,91;19,9;19,92;19,89
02/08/2012 12:11:00;19,9;19,91;19,92;19,89
02/08/2012 12:12:00;19,91;19,93;19,94;19,9
02/08/2012 12:13:00;19,93;19,92;19,94;19,92
02/08/2012 12:14:00;19,93;19,94;19,94;19,92
02/08/2012 12:15:00;19,94;19,92;19,94;19,88
02/08/2012 12:16:00;19,92;19,92;19,93;19,9
02/08/2012 12:17:00;19,91;19,91;19,91;19,9
02/08/2012 12:18:00;19,91;19,92;19,93;19,91
02/08/2012 12:19:00;19,92;19,9;19,93;19,9
02/08/2012 12:20:00;19,91;19,91;19,91;19,85
02/08/2012 12:21:00;19,91;19,88;19,91;19,87
02/08/2012 12:22:00;19,89;19,86;19,9;19,85
02/08/2012 12:23:00;19,86;19,88;19,88;19,86
02/08/2012 12:24:00;19,88;19,88;19,89;19,87
02/08/2012 12:25:00;19,87;19,79;19,87;19,78
02/08/2012 12:26:00;19,79;19,79;19,81;19,78
02/08/2012 12:27:00;19,77;19,8;19,8;19,75
02/08/2012 12:28:00;19,79;19,81;19,82;19,79
02/08/2012 12:29:00;19,82;19,81;19,83;19,78
02/08/2012 12:30:00;19,81;19,8;19,81;19,79
02/08/2012 12:31:00;19,79;19,78;19,83;19,78
02/08/2012 12:32:00;19,78;19,78;19,79;19,78
02/08/2012 12:33:00;19,78;19,78;19,78;19,78
02/08/2012 12:34:00;19,79;19,81;19,82;19,76
02/08/2012 12:35:00;19,81;19,82;19,83;19,79
02/08/2012 12:36:00;19,82;19,8;19,83;19,8
02/08/2012 12:37:00;19,79;19,77;19,82;19,76
02/08/2012 12:38:00;19,76;19,76;19,8;19,76
02/08/2012 12:39:00;19,77;19,74;19,77;19,73
02/08/2012 12:40:00;19,74;19,75;19,75;19,73
02/08/2012 12:41:00;19,73;19,68;19,74;19,67
02/08/2012 12:42:00;19,67;19,69;19,7;19,67
02/08/2012 12:43:00;19,68;19,68;19,69;19,62
02/08/2012 12:44:00;19,68;19,69;19,72;19,67
02/08/2012 12:45:00;19,69;19,73;19,75;19,69
02/08/2012 12:46:00;19,73;19,76;19,76;19,73
02/08/2012 12:47:00;19,77;19,74;19,77;19,71
02/08/2012 12:48:00;19,76;19,71;19,76;19,68
02/08/2012 12:49:00;19,72;19,74;19,74;19,72
02/08/2012 12:50:00;19,74;19,72;19,77;19,71
02/08/2012 12:51:00;19,72;19,74;19,74;19,71
02/08/2012 12:52:00;19,74;19,67;19,74;19,67
02/08/2012 12:53:00;19,67;19,66;19,69;19,65
02/08/2012 12:54:00;19,66;19,66;19,66;19,65
02/08/2012 12:55:00;19,66;19,66;19,66;19,66
02/08/2012 12:56:00;19,65;19,61;19,66;19,61
02/08/2012 12:57:00;19,61;19,63;19,64;19,57
02/08/2012 12:58:00;19,63;19,66;19,66;19,63
02/08/2012 12:59:00;19,66;19,69;19,69;19,66
02/08/2012 13:00:00;19,69;19,68;19,71;19,65
02/08/2012 13:01:00;19,68;19,69;19,7;19,68
02/08/2012 13:02:00;19,7;19,73;19,73;19,69
02/08/2012 13:03:00;19,73;19,75;19,75;19,72
02/08/2012 13:04:00;19,75;19,76;19,79;19,75
02/08/2012 13:05:00;19,76;19,73;19,76;19,73
02/08/2012 13:06:00;19,74;19,69;19,74;19,69
02/08/2012 13:07:00;19,7;19,71;19,75;19,7
02/08/2012 13:08:00;19,71;19,69;19,71;19,68
02/08/2012 13:09:00;19,72;19,68;19,74;19,68
02/08/2012 13:10:00;19,69;19,71;19,72;19,69
02/08/2012 13:11:00;19,72;19,69;19,72;19,68
02/08/2012 13:12:00;19,69;19,72;19,72;19,69
02/08/2012 13:13:00;19,72;19,73;19,73;19,71
02/08/2012 13:14:00;19,72;19,73;19,73;19,72
02/08/2012 13:15:00;19,73;19,72;19,73;19,72
02/08/2012 13:16:00;19,73;19,71;19,73;19,69
02/08/2012 13:17:00;19,71;19,73;19,73;19,71
02/08/2012 13:18:00;19,73;19,68;19,73;19,66
02/08/2012 13:19:00;19,68;19,72;19,73;19,68
02/08/2012 13:20:00;19,72;19,69;19,72;19,67
02/08/2012 13:21:00;19,7;19,67;19,7;19,66
02/08/2012 13:22:00;19,67;19,73;19,73;19,66
02/08/2012 13:23:00;19,72;19,71;19,73;19,7
02/08/2012 13:24:00;19,71;19,71;19,71;19,7
02/08/2012 13:25:00;19,72;19,67;19,72;19,67
02/08/2012 13:26:00;19,67;19,69;19,69;19,67
02/08/2012 13:27:00;19,69;19,69;19,69;19,67
02/08/2012 13:28:00;19,69;19,7;19,7;19,68
02/08/2012 13:29:00;19,7;19,69;19,7;19,68
02/08/2012 13:30:00;19,69;19,65;19,7;19,64
02/08/2012 13:31:00;19,65;19,64;19,68;19,61
02/08/2012 13:32:00;19,64;19,64;19,66;19,64
02/08/2012 13:33:00;19,64;19,61;19,65;19,61
02/08/2012 13:34:00;19,62;19,67;19,67;19,6
02/08/2012 13:35:00;19,66;19,66;19,66;19,65
02/08/2012 13:36:00;19,66;19,68;19,69;19,65
02/08/2012 13:37:00;19,68;19,69;19,69;19,68
02/08/2012 13:38:00;19,68;19,68;19,69;19,68
02/08/2012 13:39:00;19,68;19,69;19,69;19,68
02/08/2012 13:40:00;19,68;19,69;19,69;19,68
02/08/2012 13:41:00;19,69;19,66;19,69;19,65
02/08/2012 13:42:00;19,66;19,68;19,69;19,66
02/08/2012 13:43:00;19,67;19,68;19,68;19,67
02/08/2012 13:44:00;19,67;19,68;19,68;19,67
02/08/2012 13:45:00;19,68;19,67;19,68;19,64
02/08/2012 13:46:00;19,67;19,67;19,68;19,66
02/08/2012 13:47:00;19,67;19,68;19,69;19,67
02/08/2012 13:48:00;19,68;19,67;19,68;19,66
02/08/2012 13:49:00;19,66;19,69;19,69;19,66
02/08/2012 13:50:00;19,69;19,7;19,72;19,69
02/08/2012 13:51:00;19,71;19,66;19,71;19,65
02/08/2012 13:52:00;19,66;19,67;19,67;19,65
02/08/2012 13:53:00;19,67;19,69;19,69;19,66
02/08/2012 13:54:00;19,69;19,67;19,69;19,66
02/08/2012 13:55:00;19,67;19,67;19,67;19,66
02/08/2012 13:56:00;19,69;19,71;19,71;19,69
02/08/2012 13:57:00;19,71;19,73;19,74;19,7
02/08/2012 13:58:00;19,74;19,73;19,74;19,72
02/08/2012 13:59:00;19,73;19,73;19,74;19,73
02/08/2012 14:00:00;19,72;19,71;19,73;19,7
02/08/2012 14:01:00;19,71;19,74;19,74;19,71
02/08/2012 14:02:00;19,74;19,68;19,74;19,68
02/08/2012 14:03:00;19,68;19,71;19,71;19,67
02/08/2012 14:04:00;19,71;19,72;19,73;19,7
02/08/2012 14:05:00;19,72;19,7;19,72;19,68
02/08/2012 14:06:00;19,7;19,68;19,7;19,67
02/08/2012 14:07:00;19,7;19,69;19,72;19,69
02/08/2012 14:08:00;19,69;19,71;19,71;19,68
02/08/2012 14:09:00;19,72;19,71;19,73;19,71
02/08/2012 14:10:00;19,72;19,7;19,72;19,69
02/08/2012 14:11:00;19,7;19,72;19,72;19,7
02/08/2012 14:12:00;19,72;19,73;19,73;19,71
02/08/2012 14:13:00;19,73;19,76;19,77;19,72
02/08/2012 14:14:00;19,76;19,73;19,76;19,72
02/08/2012 14:15:00;19,73;19,75;19,75;19,73
02/08/2012 14:16:00;19,75;19,74;19,75;19,74
02/08/2012 14:17:00;19,75;19,75;19,77;19,75
02/08/2012 14:18:00;19,75;19,77;19,77;19,74
02/08/2012 14:19:00;19,76;19,75;19,77;19,75
02/08/2012 14:20:00;19,75;19,76;19,76;19,74
02/08/2012 14:21:00;19,76;19,77;19,77;19,75
02/08/2012 14:22:00;19,77;19,77;19,77;19,76
02/08/2012 14:23:00;19,77;19,76;19,77;19,76
02/08/2012 14:24:00;19,76;19,75;19,76;19,74
02/08/2012 14:25:00;19,76;19,77;19,77;19,76
02/08/2012 14:26:00;19,77;19,74;19,77;19,73
02/08/2012 14:27:00;19,74;19,76;19,76;19,73
