Dates;Open;Close;High;Low
09/08/2012 10:04:00;20,91;20,95;20,99;20,91
09/08/2012 10:05:00;20,94;20,94;20,95;20,86
09/08/2012 10:06:00;20,94;20,96;21,0;20,94
09/08/2012 10:07:00;20,98;20,96;21,0;20,93
09/08/2012 10:08:00;20,97;21,0;21,07;20,97
09/08/2012 10:09:00;21,0;21,03;21,03;21,0
09/08/2012 10:10:00;21,02;21,04;21,04;21,02
09/08/2012 10:11:00;21,04;21,07;21,08;21,03
09/08/2012 10:12:00;21,07;21,08;21,1;21,06
09/08/2012 10:13:00;21,08;21,03;21,09;21,03
09/08/2012 10:14:00;21,04;21,01;21,04;21,01
09/08/2012 10:15:00;21,02;21,04;21,04;21,01
09/08/2012 10:16:00;21,04;21,08;21,09;21,04
09/08/2012 10:17:00;21,08;21,07;21,13;21,07
09/08/2012 10:18:00;21,07;21,09;21,12;21,06
09/08/2012 10:19:00;21,09;21,03;21,1;21,01
09/08/2012 10:20:00;21,03;21,03;21,06;21,02
09/08/2012 10:21:00;21,03;21,03;21,05;21,03
09/08/2012 10:22:00;21,03;20,99;21,04;20,95
09/08/2012 10:23:00;20,99;20,91;21,01;20,91
09/08/2012 10:24:00;20,93;20,95;20,97;20,91
09/08/2012 10:25:00;20,96;20,96;20,97;20,95
09/08/2012 10:26:00;20,96;20,96;21,0;20,95
09/08/2012 10:27:00;20,96;20,97;20,97;20,95
09/08/2012 10:28:00;20,97;21,01;21,03;20,97
09/08/2012 10:29:00;21,02;20,98;21,04;20,98
09/08/2012 10:30:00;20,98;20,94;21,01;20,92
09/08/2012 10:31:00;20,94;21,0;21,0;20,93
09/08/2012 10:32:00;20,97;21,01;21,03;20,95
09/08/2012 10:33:00;21,0;21,0;21,02;21,0
09/08/2012 10:34:00;21,0;20,97;21,01;20,94
09/08/2012 10:35:00;20,97;20,98;20,98;20,95
09/08/2012 10:36:00;20,97;20,98;21,0;20,97
09/08/2012 10:37:00;20,98;21,01;21,01;20,97
09/08/2012 10:38:00;21,0;20,98;21,01;20,98
09/08/2012 10:39:00;20,99;21,01;21,03;20,99
09/08/2012 10:40:00;21,0;21,0;21,04;20,98
09/08/2012 10:41:00;21,02;21,07;21,07;21,0
09/08/2012 10:42:00;21,06;21,06;21,08;21,05
09/08/2012 10:43:00;21,06;21,06;21,09;21,03
09/08/2012 10:44:00;21,05;21,04;21,05;21,03
09/08/2012 10:45:00;21,03;21,02;21,08;21,02
09/08/2012 10:46:00;21,03;21,04;21,04;21,01
09/08/2012 10:47:00;21,03;21,03;21,05;21,02
09/08/2012 10:48:00;21,03;21,03;21,05;21,02
09/08/2012 10:49:00;21,03;21,0;21,04;20,98
09/08/2012 10:50:00;21,01;21,0;21,02;20,98
09/08/2012 10:51:00;20,99;21,01;21,02;20,98
09/08/2012 10:52:00;21,01;20,99;21,02;20,98
09/08/2012 10:53:00;20,98;20,99;21,0;20,95
09/08/2012 10:54:00;20,98;20,99;21,0;20,97
09/08/2012 10:55:00;20,99;20,97;20,99;20,95
09/08/2012 10:56:00;20,97;20,97;20,99;20,96
09/08/2012 10:57:00;20,97;20,98;20,98;20,97
09/08/2012 10:58:00;20,97;20,97;20,98;20,95
09/08/2012 10:59:00;20,97;20,98;21,0;20,96
09/08/2012 11:00:00;20,98;21,0;21,01;20,98
09/08/2012 11:01:00;21,0;21,0;21,0;20,99
09/08/2012 11:02:00;21,0;21,0;21,02;20,99
09/08/2012 11:03:00;21,0;21,0;21,0;20,98
09/08/2012 11:04:00;21,0;21,0;21,01;20,99
09/08/2012 11:05:00;21,01;21,01;21,05;21,01
09/08/2012 11:06:00;21,02;21,01;21,02;21,0
09/08/2012 11:07:00;21,01;21,0;21,02;21,0
09/08/2012 11:08:00;21,01;21,01;21,01;20,99
09/08/2012 11:09:00;21,01;21,02;21,04;21,01
09/08/2012 11:10:00;21,02;21,04;21,05;21,02
09/08/2012 11:11:00;21,03;21,05;21,05;21,03
09/08/2012 11:12:00;21,05;21,05;21,05;21,04
09/08/2012 11:13:00;21,05;21,05;21,07;21,04
09/08/2012 11:14:00;21,06;21,06;21,06;21,05
09/08/2012 11:15:00;21,06;21,06;21,07;21,04
09/08/2012 11:16:00;21,07;21,11;21,13;21,07
09/08/2012 11:17:00;21,12;21,06;21,13;21,06
09/08/2012 11:18:00;21,06;21,08;21,11;21,06
09/08/2012 11:19:00;21,08;21,07;21,08;21,06
09/08/2012 11:20:00;21,07;21,08;21,08;21,06
09/08/2012 11:21:00;21,07;21,06;21,07;21,06
09/08/2012 11:22:00;21,06;21,05;21,07;21,02
09/08/2012 11:23:00;21,04;21,02;21,04;21,0
09/08/2012 11:24:00;21,02;21,02;21,04;21,0
09/08/2012 11:25:00;21,03;21,04;21,04;21,02
09/08/2012 11:26:00;21,04;21,05;21,06;21,02
09/08/2012 11:27:00;21,05;21,07;21,09;21,05
09/08/2012 11:28:00;21,06;21,08;21,08;21,04
09/08/2012 11:29:00;21,07;21,09;21,1;21,06
09/08/2012 11:30:00;21,09;21,09;21,1;21,07
09/08/2012 11:31:00;21,09;21,09;21,1;21,09
09/08/2012 11:32:00;21,09;21,09;21,1;21,07
09/08/2012 11:33:00;21,08;21,11;21,11;21,08
09/08/2012 11:34:00;21,11;21,11;21,12;21,1
09/08/2012 11:35:00;21,12;21,1;21,12;21,08
09/08/2012 11:36:00;21,1;21,08;21,1;21,07
09/08/2012 11:37:00;21,09;21,08;21,09;21,06
09/08/2012 11:38:00;21,08;21,08;21,08;21,07
09/08/2012 11:39:00;21,08;21,08;21,08;21,07
09/08/2012 11:40:00;21,09;21,09;21,1;21,08
09/08/2012 11:41:00;21,09;21,08;21,11;21,07
09/08/2012 11:42:00;21,08;21,08;21,09;21,06
09/08/2012 11:43:00;21,08;21,07;21,08;21,06
09/08/2012 11:44:00;21,07;21,04;21,08;21,04
09/08/2012 11:45:00;21,05;21,06;21,06;21,04
09/08/2012 11:46:00;21,05;21,07;21,07;21,04
09/08/2012 11:47:00;21,07;21,06;21,07;21,06
09/08/2012 11:48:00;21,07;21,07;21,07;21,05
09/08/2012 11:49:00;21,07;21,07;21,07;21,06
09/08/2012 11:50:00;21,07;21,05;21,07;21,05
09/08/2012 11:51:00;21,05;21,06;21,06;21,05
09/08/2012 11:52:00;21,06;21,06;21,08;21,05
09/08/2012 11:53:00;21,07;21,07;21,08;21,06
09/08/2012 11:54:00;21,08;21,05;21,08;21,05
09/08/2012 11:55:00;21,05;21,03;21,05;21,02
09/08/2012 11:56:00;21,04;21,06;21,06;21,04
09/08/2012 11:57:00;21,06;21,05;21,06;21,05
09/08/2012 11:58:00;21,05;21,05;21,07;21,05
09/08/2012 11:59:00;21,06;21,07;21,07;21,05
09/08/2012 12:00:00;21,07;21,07;21,08;21,07
09/08/2012 12:01:00;21,07;21,06;21,07;21,04
09/08/2012 12:02:00;21,05;21,04;21,06;21,04
09/08/2012 12:03:00;21,05;21,02;21,05;21,01
09/08/2012 12:04:00;21,01;20,97;21,02;20,97
09/08/2012 12:05:00;20,98;21,0;21,0;20,97
09/08/2012 12:06:00;20,99;20,99;21,02;20,99
09/08/2012 12:07:00;20,98;20,98;20,99;20,97
09/08/2012 12:08:00;20,98;20,98;20,98;20,96
09/08/2012 12:09:00;20,98;20,99;20,99;20,97
09/08/2012 12:10:00;20,97;20,97;20,98;20,96
09/08/2012 12:11:00;20,97;20,93;20,97;20,9
09/08/2012 12:12:00;20,93;20,93;20,94;20,92
09/08/2012 12:13:00;20,93;20,92;20,94;20,91
09/08/2012 12:14:00;20,92;20,91;20,93;20,91
09/08/2012 12:15:00;20,92;20,9;20,92;20,9
09/08/2012 12:16:00;20,9;20,91;20,91;20,9
09/08/2012 12:17:00;20,91;20,91;20,92;20,9
09/08/2012 12:18:00;20,91;20,92;20,92;20,9
09/08/2012 12:19:00;20,92;20,9;20,93;20,9
09/08/2012 12:20:00;20,9;20,92;20,93;20,9
09/08/2012 12:21:00;20,92;20,93;20,93;20,91
09/08/2012 12:22:00;20,93;20,93;20,94;20,92
09/08/2012 12:23:00;20,93;20,94;20,94;20,92
09/08/2012 12:24:00;20,94;20,95;20,96;20,94
09/08/2012 12:25:00;20,96;20,95;20,96;20,95
09/08/2012 12:26:00;20,96;20,95;20,96;20,93
09/08/2012 12:27:00;20,96;20,95;20,96;20,94
09/08/2012 12:28:00;20,94;20,94;20,95;20,93
09/08/2012 12:29:00;20,94;20,94;20,94;20,92
09/08/2012 12:30:00;20,94;20,93;20,94;20,92
09/08/2012 12:31:00;20,93;20,92;20,94;20,9
09/08/2012 12:32:00;20,93;20,92;20,93;20,91
09/08/2012 12:33:00;20,93;20,94;20,94;20,92
09/08/2012 12:34:00;20,94;20,93;20,94;20,92
09/08/2012 12:35:00;20,93;20,92;20,93;20,91
09/08/2012 12:36:00;20,92;20,94;20,95;20,92
09/08/2012 12:37:00;20,94;20,93;20,94;20,92
09/08/2012 12:38:00;20,93;20,94;20,94;20,93
09/08/2012 12:39:00;20,94;20,97;20,97;20,93
09/08/2012 12:40:00;20,97;20,96;20,97;20,93
09/08/2012 12:41:00;20,97;20,93;20,97;20,93
09/08/2012 12:42:00;20,94;20,89;20,94;20,89
09/08/2012 12:43:00;20,9;20,87;20,9;20,83
09/08/2012 12:44:00;20,87;20,86;20,88;20,85
09/08/2012 12:45:00;20,86;20,87;20,87;20,85
09/08/2012 12:46:00;20,86;20,86;20,88;20,86
09/08/2012 12:47:00;20,87;20,85;20,88;20,84
09/08/2012 12:48:00;20,84;20,82;20,84;20,81
09/08/2012 12:49:00;20,82;20,84;20,84;20,82
09/08/2012 12:50:00;20,84;20,85;20,86;20,83
09/08/2012 12:51:00;20,85;20,84;20,85;20,83
09/08/2012 12:52:00;20,84;20,8;20,85;20,8
09/08/2012 12:53:00;20,81;20,77;20,81;20,76
09/08/2012 12:54:00;20,76;20,78;20,8;20,76
09/08/2012 12:55:00;20,78;20,8;20,8;20,77
09/08/2012 12:56:00;20,8;20,8;20,81;20,78
09/08/2012 12:57:00;20,8;20,76;20,8;20,75
09/08/2012 12:58:00;20,76;20,78;20,78;20,75
09/08/2012 12:59:00;20,78;20,79;20,8;20,77
09/08/2012 13:00:00;20,79;20,72;20,79;20,71
09/08/2012 13:01:00;20,72;20,75;20,75;20,72
09/08/2012 13:02:00;20,75;20,75;20,76;20,74
09/08/2012 13:03:00;20,76;20,73;20,76;20,73
09/08/2012 13:04:00;20,73;20,7;20,73;20,7
09/08/2012 13:05:00;20,7;20,73;20,73;20,7
09/08/2012 13:06:00;20,73;20,78;20,79;20,73
09/08/2012 13:07:00;20,77;20,75;20,78;20,74
09/08/2012 13:08:00;20,76;20,77;20,77;20,75
09/08/2012 13:09:00;20,77;20,79;20,79;20,76
09/08/2012 13:10:00;20,79;20,81;20,81;20,78
09/08/2012 13:11:00;20,81;20,82;20,82;20,79
09/08/2012 13:12:00;20,81;20,83;20,83;20,8
09/08/2012 13:13:00;20,83;20,8;20,83;20,8
09/08/2012 13:14:00;20,8;20,81;20,81;20,79
09/08/2012 13:15:00;20,81;20,81;20,82;20,8
09/08/2012 13:16:00;20,81;20,81;20,82;20,8
09/08/2012 13:17:00;20,83;20,83;20,83;20,81
09/08/2012 13:18:00;20,83;20,79;20,83;20,79
09/08/2012 13:19:00;20,79;20,79;20,8;20,78
09/08/2012 13:20:00;20,79;20,79;20,79;20,78
09/08/2012 13:21:00;20,79;20,78;20,79;20,76
09/08/2012 13:22:00;20,78;20,77;20,78;20,76
09/08/2012 13:23:00;20,77;20,77;20,77;20,75
09/08/2012 13:24:00;20,78;20,78;20,79;20,77
09/08/2012 13:25:00;20,78;20,8;20,8;20,78
09/08/2012 13:26:00;20,8;20,82;20,83;20,8
09/08/2012 13:27:00;20,83;20,83;20,85;20,82
09/08/2012 13:28:00;20,83;20,86;20,86;20,83
09/08/2012 13:29:00;20,86;20,83;20,86;20,83
09/08/2012 13:30:00;20,83;20,86;20,86;20,83
09/08/2012 13:31:00;20,86;20,88;20,89;20,84
09/08/2012 13:32:00;20,87;20,86;20,87;20,84
09/08/2012 13:33:00;20,86;20,89;20,89;20,85
09/08/2012 13:34:00;20,89;20,86;20,9;20,86
09/08/2012 13:35:00;20,87;20,89;20,89;20,87
09/08/2012 13:36:00;20,88;20,89;20,89;20,87
09/08/2012 13:37:00;20,89;20,89;20,91;20,87
09/08/2012 13:38:00;20,89;20,88;20,89;20,87
09/08/2012 13:39:00;20,88;20,89;20,89;20,88
09/08/2012 13:40:00;20,89;20,91;20,91;20,87
09/08/2012 13:41:00;20,91;20,92;20,92;20,91
09/08/2012 13:42:00;20,92;20,95;20,95;20,9
09/08/2012 13:43:00;20,94;20,94;20,95;20,93
09/08/2012 13:44:00;20,94;20,94;20,96;20,93
09/08/2012 13:45:00;20,94;20,94;20,94;20,93
09/08/2012 13:46:00;20,94;20,93;20,96;20,93
09/08/2012 13:47:00;20,94;20,92;20,94;20,92
09/08/2012 13:48:00;20,93;20,93;20,94;20,92
09/08/2012 13:49:00;20,94;20,9;20,94;20,9
09/08/2012 13:50:00;20,9;20,95;20,95;20,88
09/08/2012 13:51:00;20,95;20,95;20,95;20,94
09/08/2012 13:52:00;20,96;20,95;20,97;20,95
09/08/2012 13:53:00;20,96;20,95;20,97;20,95
09/08/2012 13:54:00;20,96;20,96;20,97;20,95
09/08/2012 13:55:00;20,96;20,95;20,97;20,95
09/08/2012 13:56:00;20,95;20,96;20,96;20,94
09/08/2012 13:57:00;20,96;20,96;20,96;20,94
09/08/2012 13:58:00;20,96;20,92;20,96;20,91
09/08/2012 13:59:00;20,92;20,92;20,93;20,91
09/08/2012 14:00:00;20,93;20,95;20,97;20,93
09/08/2012 14:01:00;20,96;20,95;20,97;20,92
09/08/2012 14:02:00;20,95;20,94;20,95;20,92
09/08/2012 14:03:00;20,93;20,95;20,97;20,92
09/08/2012 14:04:00;20,95;20,95;20,96;20,93
09/08/2012 14:05:00;20,95;20,94;20,96;20,94
09/08/2012 14:06:00;20,95;20,94;20,95;20,92
09/08/2012 14:07:00;20,94;20,94;20,94;20,92
09/08/2012 14:08:00;20,94;20,94;20,94;20,93
09/08/2012 14:09:00;20,94;20,93;20,94;20,93
09/08/2012 14:10:00;20,94;20,95;20,95;20,93
09/08/2012 14:11:00;20,95;20,91;20,95;20,9
09/08/2012 14:12:00;20,91;20,9;20,91;20,89
09/08/2012 14:13:00;20,9;20,88;20,91;20,88
09/08/2012 14:14:00;20,89;20,87;20,89;20,87
09/08/2012 14:15:00;20,88;20,89;20,89;20,88
09/08/2012 14:16:00;20,89;20,89;20,89;20,87
09/08/2012 14:17:00;20,88;20,87;20,89;20,87
09/08/2012 14:18:00;20,88;20,91;20,91;20,87
09/08/2012 14:19:00;20,91;20,92;20,92;20,89
09/08/2012 14:20:00;20,92;20,88;20,92;20,88
09/08/2012 14:21:00;20,88;20,89;20,89;20,88
09/08/2012 14:22:00;20,9;20,9;20,9;20,89
09/08/2012 14:23:00;20,9;20,9;20,9;20,89
09/08/2012 14:24:00;20,9;20,89;20,9;20,89
09/08/2012 14:25:00;20,9;20,9;20,9;20,89
09/08/2012 14:26:00;20,9;20,9;20,9;20,89
09/08/2012 14:27:00;20,9;20,91;20,91;20,89
09/08/2012 14:28:00;20,9;20,9;20,91;20,89
09/08/2012 14:29:00;20,9;20,91;20,92;20,89
09/08/2012 14:30:00;20,91;20,92;20,92;20,9
09/08/2012 14:31:00;20,92;20,93;20,94;20,91
09/08/2012 14:32:00;20,93;20,94;20,94;20,93
09/08/2012 14:33:00;20,94;20,92;20,94;20,92
09/08/2012 14:34:00;20,92;20,91;20,93;20,91
09/08/2012 14:35:00;20,91;20,92;20,93;20,91
09/08/2012 14:36:00;20,92;20,94;20,94;20,9
09/08/2012 14:37:00;20,93;20,92;20,94;20,92
09/08/2012 14:38:00;20,93;20,93;20,95;20,92
09/08/2012 14:39:00;20,93;20,93;20,94;20,92
09/08/2012 14:40:00;20,94;20,93;20,94;20,93
09/08/2012 14:41:00;20,94;20,95;20,95;20,93
09/08/2012 14:42:00;20,95;20,96;20,97;20,94
09/08/2012 14:43:00;20,96;20,98;20,98;20,95
09/08/2012 14:44:00;20,97;20,98;20,98;20,96
09/08/2012 14:45:00;20,98;20,97;20,98;20,97
09/08/2012 14:46:00;20,98;20,96;20,98;20,95
09/08/2012 14:47:00;20,96;20,96;20,97;20,95
09/08/2012 14:48:00;20,96;20,95;20,97;20,94
09/08/2012 14:49:00;20,95;20,94;20,96;20,93
09/08/2012 14:50:00;20,94;20,94;20,95;20,94
09/08/2012 14:51:00;20,96;20,95;20,96;20,94
09/08/2012 14:52:00;20,95;20,95;20,96;20,94
09/08/2012 14:53:00;20,95;20,96;20,96;20,94
09/08/2012 14:54:00;20,95;20,94;20,96;20,93
09/08/2012 14:55:00;20,93;20,96;20,96;20,92
09/08/2012 14:56:00;20,96;20,95;20,96;20,93
09/08/2012 14:57:00;20,95;20,93;20,95;20,93
09/08/2012 14:58:00;20,93;20,9;20,93;20,88
09/08/2012 14:59:00;20,9;20,93;20,94;20,88
09/08/2012 15:00:00;20,92;20,9;20,93;20,89
09/08/2012 15:01:00;20,9;20,91;20,92;20,9
09/08/2012 15:02:00;20,91;20,92;20,92;20,9
09/08/2012 15:03:00;20,92;20,92;20,92;20,91
09/08/2012 15:04:00;20,92;20,93;20,94;20,9
09/08/2012 15:05:00;20,93;20,9;20,93;20,9
09/08/2012 15:06:00;20,9;20,91;20,91;20,88
09/08/2012 15:07:00;20,91;20,92;20,94;20,9
09/08/2012 15:08:00;20,93;20,91;20,95;20,91
09/08/2012 15:09:00;20,92;20,94;20,95;20,92
09/08/2012 15:10:00;20,95;20,95;20,96;20,94
09/08/2012 15:11:00;20,94;20,92;20,95;20,91
09/08/2012 15:12:00;20,92;20,92;20,93;20,91
09/08/2012 15:13:00;20,92;20,9;20,92;20,89
09/08/2012 15:14:00;20,9;20,87;20,9;20,87
09/08/2012 15:15:00;20,88;20,89;20,89;20,87
09/08/2012 15:16:00;20,89;20,9;20,9;20,87
09/08/2012 15:17:00;20,9;20,9;20,9;20,88
09/08/2012 15:18:00;20,9;20,9;20,9;20,89
09/08/2012 15:19:00;20,91;20,91;20,91;20,9
09/08/2012 15:20:00;20,91;20,91;20,91;20,9
09/08/2012 15:21:00;20,91;20,88;20,91;20,88
09/08/2012 15:22:00;20,89;20,9;20,9;20,88
09/08/2012 15:23:00;20,9;20,9;20,91;20,89
09/08/2012 15:24:00;20,9;20,9;20,91;20,89
09/08/2012 15:25:00;20,9;20,91;20,92;20,9
09/08/2012 15:26:00;20,91;20,92;20,92;20,9
09/08/2012 15:27:00;20,92;20,9;20,92;20,89
09/08/2012 15:28:00;20,9;20,9;20,91;20,89
09/08/2012 15:29:00;20,91;20,92;20,92;20,9
09/08/2012 15:30:00;20,92;20,92;20,93;20,91
09/08/2012 15:31:00;20,93;20,93;20,94;20,92
09/08/2012 15:32:00;20,93;20,95;20,95;20,92
09/08/2012 15:33:00;20,95;20,94;20,95;20,92
09/08/2012 15:34:00;20,94;20,94;20,95;20,93
09/08/2012 15:35:00;20,94;20,93;20,95;20,92
09/08/2012 15:36:00;20,92;20,94;20,94;20,92
09/08/2012 15:37:00;20,94;20,94;20,95;20,92
09/08/2012 15:38:00;20,95;20,93;20,95;20,93
09/08/2012 15:39:00;20,93;20,94;20,94;20,93
09/08/2012 15:40:00;20,94;20,95;20,96;20,94
09/08/2012 15:41:00;20,94;20,95;20,95;20,93
09/08/2012 15:42:00;20,94;20,92;20,95;20,92
09/08/2012 15:43:00;20,93;20,92;20,93;20,91
09/08/2012 15:44:00;20,92;20,94;20,95;20,91
09/08/2012 15:45:00;20,94;20,92;20,94;20,91
09/08/2012 15:46:00;20,92;20,93;20,93;20,91
09/08/2012 15:47:00;20,93;20,94;20,94;20,93
09/08/2012 15:48:00;20,94;20,94;20,94;20,93
09/08/2012 15:49:00;20,94;20,94;20,95;20,93
09/08/2012 15:50:00;20,94;20,95;20,95;20,93
09/08/2012 15:51:00;20,95;20,93;20,95;20,92
09/08/2012 15:52:00;20,93;20,94;20,94;20,92
09/08/2012 15:53:00;20,94;20,95;20,95;20,92
09/08/2012 15:54:00;20,95;20,94;20,95;20,94
09/08/2012 15:55:00;20,94;20,94;20,94;20,93
09/08/2012 15:56:00;20,95;20,95;20,95;20,94
09/08/2012 15:57:00;20,95;20,95;20,95;20,93
09/08/2012 15:58:00;20,95;20,94;20,95;20,93
09/08/2012 15:59:00;20,94;20,94;20,95;20,93
09/08/2012 16:00:00;20,94;20,9;20,94;20,9
09/08/2012 16:01:00;20,91;20,94;20,94;20,9
09/08/2012 16:02:00;20,93;20,93;20,94;20,92
09/08/2012 16:03:00;20,93;20,93;20,93;20,91
09/08/2012 16:04:00;20,93;20,92;20,94;20,91
09/08/2012 16:05:00;20,92;20,9;20,93;20,89
09/08/2012 16:06:00;20,9;20,92;20,93;20,89
09/08/2012 16:07:00;20,93;20,94;20,94;20,91
09/08/2012 16:08:00;20,94;20,94;20,95;20,93
09/08/2012 16:09:00;20,94;20,93;20,94;20,91
09/08/2012 16:10:00;20,93;20,93;20,94;20,92
09/08/2012 16:11:00;20,93;20,94;20,95;20,92
09/08/2012 16:12:00;20,95;20,94;20,95;20,93
09/08/2012 16:13:00;20,94;20,93;20,94;20,92
09/08/2012 16:14:00;20,93;20,95;20,96;20,93
09/08/2012 16:15:00;20,95;20,99;20,99;20,95
09/08/2012 16:16:00;20,97;20,98;20,99;20,96
09/08/2012 16:17:00;20,97;20,99;20,99;20,96
09/08/2012 16:18:00;20,98;20,97;20,99;20,94
09/08/2012 16:19:00;20,95;20,98;20,98;20,95
09/08/2012 16:20:00;20,98;20,96;20,98;20,95
09/08/2012 16:21:00;20,96;20,96;20,98;20,95
09/08/2012 16:22:00;20,97;20,96;20,98;20,95
09/08/2012 16:23:00;20,96;20,98;20,98;20,95
09/08/2012 16:24:00;20,98;20,97;21,0;20,96
09/08/2012 16:25:00;20,97;20,99;21,01;20,97
09/08/2012 16:26:00;20,99;21,01;21,01;20,97
09/08/2012 16:27:00;21,01;21,01;21,02;20,99
09/08/2012 16:28:00;21,01;21,01;21,01;20,99
09/08/2012 16:29:00;21,01;21,01;21,01;20,99
09/08/2012 16:30:00;21,01;21,01;21,02;21,0
09/08/2012 16:31:00;21,01;21,03;21,03;21,0
09/08/2012 16:32:00;21,03;21,02;21,03;21,0
09/08/2012 16:33:00;21,03;21,02;21,03;21,0
09/08/2012 16:34:00;21,02;21,01;21,02;21,0
09/08/2012 16:35:00;21,01;21,01;21,01;21,0
09/08/2012 16:36:00;21,01;21,0;21,01;20,98
09/08/2012 16:37:00;20,99;21,0;21,0;20,98
09/08/2012 16:38:00;20,99;20,98;21,0;20,98
09/08/2012 16:39:00;20,98;20,99;20,99;20,98
09/08/2012 16:40:00;20,99;21,0;21,0;20,99
09/08/2012 16:41:00;21,0;20,99;21,0;20,98
