Dates;Open;Close;High;Low
31/08/2012 10:03:00;21,15;21,16;21,17;21,1
31/08/2012 10:04:00;21,17;21,17;21,18;21,17
31/08/2012 10:05:00;21,18;21,19;21,19;21,18
31/08/2012 10:06:00;21,19;21,21;21,21;21,19
31/08/2012 10:07:00;21,21;21,17;21,21;21,15
31/08/2012 10:08:00;21,15;21,14;21,16;21,14
31/08/2012 10:09:00;21,16;21,13;21,16;21,12
31/08/2012 10:10:00;21,13;21,12;21,14;21,12
31/08/2012 10:11:00;21,14;21,14;21,14;21,13
31/08/2012 10:12:00;21,15;21,11;21,15;21,11
31/08/2012 10:13:00;21,11;21,09;21,11;21,05
31/08/2012 10:14:00;21,09;20,94;21,09;20,94
31/08/2012 10:15:00;20,94;20,87;20,94;20,85
31/08/2012 10:16:00;20,88;20,84;20,88;20,83
31/08/2012 10:17:00;20,84;20,84;20,85;20,82
31/08/2012 10:18:00;20,84;20,96;20,97;20,83
31/08/2012 10:19:00;20,97;20,94;21,0;20,91
31/08/2012 10:20:00;20,95;20,95;20,97;20,93
31/08/2012 10:21:00;20,95;20,98;20,99;20,95
31/08/2012 10:22:00;20,98;21,01;21,01;20,97
31/08/2012 10:23:00;21,01;21,03;21,03;21,01
31/08/2012 10:24:00;21,03;21,06;21,06;21,03
31/08/2012 10:25:00;21,06;21,04;21,09;21,04
31/08/2012 10:26:00;21,04;20,97;21,04;20,95
31/08/2012 10:27:00;20,95;20,97;20,98;20,94
31/08/2012 10:28:00;20,99;20,99;20,99;20,98
31/08/2012 10:29:00;20,99;21,04;21,04;20,98
31/08/2012 10:30:00;21,02;21,04;21,08;21,01
31/08/2012 10:31:00;21,03;21,03;21,06;21,02
31/08/2012 10:32:00;21,05;21,02;21,05;21,0
31/08/2012 10:33:00;21,03;21,03;21,03;21,02
31/08/2012 10:34:00;21,03;21,04;21,05;21,02
31/08/2012 10:35:00;21,05;21,03;21,05;21,02
31/08/2012 10:36:00;21,02;21,01;21,04;21,0
31/08/2012 10:37:00;21,01;21,02;21,02;21,0
31/08/2012 10:38:00;21,02;21,01;21,02;21,0
